hotel_name,location,star_rating,review_rating,number_of_reviews,price,city,country,channel_hotel_id,channel_name
OYO 690 Bann Supansa Resort,Krabi town,3.0,nan,nan,132744,Krabi,Thailand,6150045,booking
OYO 808 Kawin Home,"Lat Krabang, Bangkok",2.0,nan,nan,75864,Bangkok,Thailand,6294930,booking
OYO 455 Siam Best 2,"Pratunam, Bangkok",4.0,8.3,4 reviews,82841,Bangkok,Thailand,6232401,booking
OYO 484 Pannee Residence Khaosan,"Khaosan, Bangkok",2.0,7.7,105 reviews,105190,Bangkok,Thailand,1415706,booking
OYO 482 Pannee Lodge Khaosan,"Khaosan, Bangkok",2.0,7.6,154 reviews,102146,Bangkok,Thailand,1415629,booking
OYO 387 Little Bangbon,Bangkok,3.0,6.0,5 reviews,78200,Bangkok,Thailand,4950044,booking
OYO 642 Nice Bird Suite,"Laksi, Bangkok",3.0,nan,nan,87015,Bangkok,Thailand,545855,booking
OYO 378 Bright Minitel,"Bangkok Old Town, Bangkok",2.0,8.7,102 reviews,87600,Bangkok,Thailand,2856249,booking
OYO 559 Vestel,"Phaya Thai, Bangkok",3.0,8.7,105 reviews,100390,Bangkok,Thailand,2503669,booking
OYO 845 L.A Tower Hotel,"Din Daeng, Bangkok",2.0,7.5,48 reviews,93893,Bangkok,Thailand,779574,booking
OYO 796 Paradise Sukhumvit Hotel,"Wattana, Bangkok",2.0,nan,nan,66976,Bangkok,Thailand,263291,booking
OYO 333 NK Guesthouse,"Khlong Toei, Bangkok",2.0,7.3,110 reviews,84697,Bangkok,Thailand,377845,booking
OYO 432 Longzhu Guesthouse,"Bang Kho Laem, Bangkok",2.0,6.6,66 reviews,130039,Bangkok,Thailand,1148571,booking
OYO 411 Grandview Condo 15,"Chatuchak, Bangkok",2.0,6.4,10 reviews,231162,Bangkok,Thailand,5761183,booking
OYO 814 Nature Hostel,"Laksi, Bangkok",2.0,nan,nan,115465,Bangkok,Thailand,6283883,booking
OYO 322 Shady 32,"Chatuchak, Bangkok",2.0,8.3,42 reviews,95667,Bangkok,Thailand,5610165,booking
OYO 644 Pong Pai House,"Lat Krabang, Bangkok",2.0,nan,nan,73172,Bangkok,Thailand,6144204,booking
OYO 783 Brunch Marker Cafe & Hostels,"Khaosan, Bangkok",2.0,8.3,93 reviews,67756,Bangkok,Thailand,1896560,booking
OYO 271 The Resort Romklao,"Lat Krabang, Bangkok",3.0,6.1,52 reviews,54732,Bangkok,Thailand,1394085,booking
OYO 114 Bb Boutique Ekamai,"Wattana, Bangkok",2.0,6.7,20 reviews,104342,Bangkok,Thailand,4806790,booking
OYO 117 King One Suvarnabhumi,Bangkok,3.0,7.4,361 reviews,65708,Bangkok,Thailand,275341,booking
OYO 505 Ente Space Hostel,"Chinatown, Bangkok",2.0,7.3,8 reviews,74470,Bangkok,Thailand,5852998,booking
OYO 427 Chill Apartment,"Bang Khae, Bangkok",3.0,7.8,154 reviews,50572,Bangkok,Thailand,2962078,booking
ZEN Rooms Siripong Road,"Bangkok Old Town, Bangkok",2.0,8.0,7 reviews,132712,Bangkok,Thailand,2098435,booking
OYO 424 The Room Resort Apartment,"Saphan Sung, Bangkok",2.0,nan,nan,116248,Bangkok,Thailand,5745132,booking
OYO 434 Boonsiri Place Hotel,"Bangkok Old Town, Bangkok",3.0,7.4,186 reviews,146376,Bangkok,Thailand,27243,booking
OYO 404 P9 Bangkok,Bangkok,2.0,8.8,14 reviews,73172,Bangkok,Thailand,5716281,booking
OYO 568 Art Hotel Hua Lamphong,"Pathumwan, Bangkok",3.0,7.3,486 reviews,74435,Bangkok,Thailand,3456511,booking
OYO 274 Meesook Residence,Bangkok,3.0,7.9,215 reviews,65502,Bangkok,Thailand,5512110,booking
OYO 137 Kitzio House,"Huai Khwang, Bangkok",2.0,8.7,127 reviews,111115,Bangkok,Thailand,4469652,booking
OYO 462 Star Sukhumvit,"Sukhumvit, Bangkok",3.0,8.1,72 reviews,110986,Bangkok,Thailand,5835092,booking
OYO 309 Ze Residence Ram Intra,Bangkok,3.0,8.4,22 reviews,60632,Bangkok,Thailand,5561706,booking
OYO 388 SLT Apartment,Bangkok,nan,8.0,50 reviews,101855,Bangkok,Thailand,4013390,booking
OYO 307 Baan Udom,"Chinatown, Bangkok",2.0,8.1,97 reviews,131913,Bangkok,Thailand,1615013,booking
OYO 243 The All Residence,Bangkok,3.0,8.2,103 reviews,94707,Bangkok,Thailand,5373333,booking
OYO 457 Panasan Villa,"Sukhumvit, Bangkok",1.0,8.2,5 reviews,61229,Bangkok,Thailand,5713200,booking
OYO 236 A Sleep Bangkok Sathorn,"Sathorn, Bangkok",3.0,8.5,249 reviews,83158,Bangkok,Thailand,5300762,booking
OYO 881 SP Tha Phra,"Bangkok Yai, Bangkok",2.0,nan,nan,64490,Bangkok,Thailand,4777073,booking
OYO 564 Nature Boutique Hotel,"Chatuchak, Bangkok",3.0,7.9,336 reviews,87658,Bangkok,Thailand,274494,booking
OYO 415 P Place,"Bangkapi, Bangkok",3.0,7.6,60 reviews,65439,Bangkok,Thailand,4725043,booking
OYO 308 Wire Bangkok Hostel Onnut,"Sukhumvit, Bangkok",2.0,6.2,29 reviews,62986,Bangkok,Thailand,5253045,booking
Capital O OYO 737 Beyond Suite Rama8,"Khaosan, Bangkok",4.0,nan,nan,119855,Bangkok,Thailand,4129349,booking
OYO 299 Crown Bts Nana Hotel,"Khlong Toei, Bangkok",2.0,7.2,235 reviews,102205,Bangkok,Thailand,1016774,booking
OYO 431 Plearnwan Deluxe Mansion,Bangkok,3.0,7.1,7 reviews,79054,Bangkok,Thailand,4994806,booking
OYO 410 Diamond Boutique Hostel,"Bang Khae, Bangkok",3.0,4.5,4 reviews,67616,Bangkok,Thailand,5733287,booking
OYO 491 Five Diamond,"Bang Khen, Bangkok",3.0,8.7,166 reviews,62242,Bangkok,Thailand,4779309,booking
OYO 602 L'hotel Bangkok,Bangkok,3.0,6.2,13 reviews,94930,Bangkok,Thailand,2299127,booking
OYO 507 Freesia Guesthouse Suvarnabhumi,Bangkok,nan,5.7,3 reviews,70414,Bangkok,Thailand,5911931,booking
OYO 426 All Day Hostel @ Sukhumvit,"Sukhumvit, Bangkok",nan,9.0,103 reviews,89070,Bangkok,Thailand,3059897,booking
OYO 425 Gedkanok Apartment,Bangkok,2.0,5.9,23 reviews,59825,Bangkok,Thailand,1707265,booking
OYO 615 Bossa House Hostel & Cafe,"Sukhumvit, Bangkok",2.0,9.2,4 reviews,39220,Bangkok,Thailand,5262182,booking
OYO 254 Royal Pimand,Bangkok,3.0,5.5,62 reviews,64391,Bangkok,Thailand,361164,booking
OYO 478 The Diamond 24 Minburi,Bangkok,3.0,7.7,15 reviews,135367,Bangkok,Thailand,4969312,booking
ZEN Rooms Aryan Suites,"Din Daeng, Bangkok",2.0,7.7,19 reviews,120386,Bangkok,Thailand,1711928,booking
ZEN Rooms Sukhumvit 81,"Sukhumvit, Bangkok",nan,8.1,38 reviews,161457,Bangkok,Thailand,1725755,booking
ZEN Rooms Sathorn,"Sathorn, Bangkok",nan,nan,nan,139923,Bangkok,Thailand,1713492,booking
ZEN Rooms Sukhumvit 71,"Wattana, Bangkok",3.0,nan,nan,161732,Bangkok,Thailand,1725766,booking
OYO 371 Sea Breeze Residence,Jomtien Beach,3.0,8.3,118 reviews,129770,Pattaya,Thailand,1063330,booking
OYO 281 The Reader Cafe And Room,Pattaya South,2.0,7.2,37 reviews,66193,Pattaya,Thailand,2666965,booking
OYO 144 Piyada Residence Pattaya,Pattaya South,3.0,8.2,251 reviews,74471,Pattaya,Thailand,266685,booking
OYO 438 Home 24,"North Pattaya, Pattaya Central",2.0,7.9,4 reviews,64437,Pattaya,Thailand,5760521,booking
OYO Loft By Busaba,Jomtien Beach,3.0,nan,nan,98138,Pattaya,Thailand,5959360,booking
OYO 278 Fortune Pattaya Resort,Jomtien Beach,3.0,7.9,23 reviews,87658,Pattaya,Thailand,4792735,booking
OYO 356 PU Guesthouse,Phra Nakhon Si Ayutthaya,3.0,7.6,237 reviews,72082,Ayutthaya,Thailand,1548288,booking
OYO 465 Krung Kao Traveller Lodge,Phra Nakhon Si Ayutthaya,2.0,8.1,215 reviews,48457,Ayutthaya,Thailand,4037412,booking
OYO 384 Ban Sabaidee,Phra Nakhon Si Ayutthaya,3.0,6.1,42 reviews,72878,Ayutthaya,Thailand,289453,booking
OYO 290 DD Residence Hotel,Rayong,2.0,8.1,193 reviews,60983,Rayong,Thailand,1570610,booking
OYO Wan Resort,Rayong,3.0,8.9,4 reviews,78539,Rayong,Thailand,5616950,booking
OYO 245 Sweet Sense Jomtien Resort,Jomtien Beach,3.0,7.5,119 reviews,65708,Pattaya,Thailand,428465,booking
OYO Waaina resort,Rayong,2.0,nan,nan,75864,Rayong,Thailand,5933398,booking
OYO 827 Preechana Golden Place Service Apartment,Rayong,2.0,nan,nan,63689,Rayong,Thailand,6294952,booking
OYO 418 Saksaitarn Resort,Rayong,4.0,7.5,9 reviews,90463,Rayong,Thailand,5737565,booking
OYO 442 Suan Palm Garden View,Rayong,3.0,7.6,25 reviews,58244,Rayong,Thailand,636280,booking
OYO 839 Next At Rayong Hotel,Rayong,2.0,7.9,16 reviews,58244,Rayong,Thailand,1178892,booking
OYO 595 Mac Garden Resort,Ban Phe,3.0,6.0,7 reviews,62658,Rayong,Thailand,288441,booking
OYO 752 Green Resort,Ban Hua Laem,2.0,nan,nan,58572,Rayong,Thailand,6270714,booking
OYO 678 9's Born,Ban Kluk Faeb,2.0,nan,nan,58244,Rayong,Thailand,6144266,booking
OYO 407 Tom Pizza Resort,"Ao Wong Duan, Ko Samed",2.0,6.1,6 reviews,121611,Rayong,Thailand,4303486,booking
OYO 516 Rabeang Baan,Ko Samed,2.0,nan,nan,121611,Rayong,Thailand,5975080,booking
OYO 864 Seahorse Resort,"Ao Wong Duan, Ko Samed",2.0,nan,nan,123870,Rayong,Thailand,6363717,booking
OYO 324 Deeden Pattaya Resort,Pattaya South,3.0,7.5,98 reviews,65708,Pattaya,Thailand,482105,booking
OYO 764 Let’s Go Hotel,Rayong,2.0,5.1,3 reviews,61229,Rayong,Thailand,3584383,booking
OYO 645 Baan Ruangrungroj,Jomtien Beach,2.0,nan,nan,53269,Pattaya,Thailand,6144236,booking
OYO 347 Southside Residence,Pattaya South,2.0,8.3,56 reviews,52830,Pattaya,Thailand,5646387,booking
OYO 458 Nakorn Siam Boutique,Pattaya Central,3.0,7.3,44 reviews,65708,Pattaya,Thailand,5839982,booking
OYO Ali Hostel,"Phaya Thai, Bangkok",2.0,nan,nan,93119,Bangkok,Thailand,5928872,booking
OYO Am Bed Hostel,"Phaya Thai, Bangkok",nan,9.5,96 reviews,83233,Bangkok,Thailand,4525840,booking
OYO Chatel Hostel Bangkok,"Pathumwan, Bangkok",3.0,8.8,12 reviews,87805,Bangkok,Thailand,5386613,booking
OYO 612 Hansa Hostel,"Khaosan, Bangkok",nan,8.8,18 reviews,88191,Bangkok,Thailand,3189663,booking
OYO S7 Hostel,"Wattana, Bangkok",3.0,8.2,251 reviews,64144,Bangkok,Thailand,2650384,booking
OYO 823 Oliver’s Hostel,"Sukhumvit, Bangkok",nan,7.2,5 reviews,95648,Bangkok,Thailand,4735090,booking
OYO 287 Al Ameen Hotel,Krabi town,4.0,7.8,143 reviews,65251,Krabi,Thailand,4975819,booking
OYO 815 Namchai House,Jomtien Beach,2.0,nan,nan,73260,Pattaya,Thailand,6294915,booking
OYO 819 Baan Garagade Resort,Na Jomtien,2.0,nan,nan,110489,Pattaya,Thailand,6296426,booking
OYO 683 Baan Lo Samphao,Pattaya Central,3.0,nan,nan,73172,Pattaya,Thailand,6170738,booking
OYO 824 Valida Resort,Pattaya South,2.0,nan,nan,76022,Pattaya,Thailand,6296392,booking
OYO 348 Saithong Place,Na Jomtien,2.0,7.2,57 reviews,67124,Pattaya,Thailand,2926260,booking
OYO 772 Mercy Hotel,Jomtien Beach,2.0,nan,nan,73329,Pattaya,Thailand,6270698,booking
Khanidta Resort,Pattaya North,2.0,4.4,6 reviews,63980,Pattaya,Thailand,5979423,booking
OYO Naza Orchid,Pattaya Central,3.0,4.6,6 reviews,66392,Pattaya,Thailand,5966289,booking
OYO 315 Hari Om Delhi Darbar,Pattaya Central,2.0,6.5,3 reviews,81805,Pattaya,Thailand,5621730,booking
OYO 882 The Moonlight Serviced Apartment,Pattaya South,2.0,nan,nan,73077,Pattaya,Thailand,2247457,booking
OYO 497 The Balagus Hotel,Pattaya North,3.0,nan,nan,51074,Pattaya,Thailand,5868916,booking
OYO 850 Central Pattaya Residence,"North Pattaya, Pattaya Central",2.0,6.0,10 reviews,67025,Pattaya,Thailand,1183276,booking
OYO 811 Jasmine Villa,Pattaya Central,2.0,7.0,3 reviews,60386,Pattaya,Thailand,6283858,booking
OYO 878 Sintara Residence,"North Pattaya, Pattaya Central",2.0,nan,nan,59268,Pattaya,Thailand,6381151,booking
OYO AKE Apartment,Pattaya South,2.0,nan,nan,57828,Pattaya,Thailand,6144169,booking
OYO 419 Maleewan Jomtien,Jomtien Beach,2.0,8.1,329 reviews,72878,Pattaya,Thailand,2022518,booking
OYO 467 Blue Bed Pattaya,Pattaya North,3.0,9.1,40 reviews,75225,Pattaya,Thailand,5721089,booking
Shangwell Mansion Pattaya,Pattaya Central,3.0,nan,nan,65474,Pattaya,Thailand,6006081,booking
OYO 335 Top Inn Khaosan,"Khaosan, Bangkok",2.0,6.8,293 reviews,55891,Bangkok,Thailand,2324109,booking
OYO 437 Hostel Na Nara,"Bang Rak, Bangkok",3.0,6.9,33 reviews,193150,Bangkok,Thailand,547510,booking
OYO 265 Ratchada Connect,"Din Daeng, Bangkok",nan,8.7,105 reviews,105671,Bangkok,Thailand,4222629,booking
OYO 318 Pak D Resort,"Ladprao, Bangkok",2.0,7.6,38 reviews,72112,Bangkok,Thailand,1326840,booking
OYO 289 Luck Swan Boutique,Chiang Rai,3.0,7.6,111 reviews,51015,Chiang Rai,Thailand,2636558,booking
OYO 515 Fewtor Place,Hua Thanon Beach,3.0,8.2,11 reviews,90556,Koh Samui,Thailand,1238648,booking
OYO 530 Hoo Samui Resort,Mae Nam,3.0,8.2,45 reviews,110699,Koh Samui,Thailand,4787157,booking
OYO 927 Samui Platinum Hotel,Bophut,2.0,9.0,7 reviews,122628,Koh Samui,Thailand,3244156,booking
OYO U Residence,Lamai,nan,nan,nan,87512,Koh Samui,Thailand,5998769,booking
OYO 468 Dumrong Town Hotel,Nathon,2.0,6.4,14 reviews,96726,Koh Samui,Thailand,5864179,booking
OYO Chytalay Palace Hotel,Nathon,2.0,6.5,36 reviews,102030,Koh Samui,Thailand,558704,booking
OYO 639 Rak Samui Residence,"Fisherman Village, Bophut",3.0,9.2,4 reviews,110705,Koh Samui,Thailand,365587,booking
OYO 616 Bonita House Samui,"Chaweng City Center , Chaweng",2.0,7.9,45 reviews,94824,Koh Samui,Thailand,2073156,booking
OYO Baan Wararin Hostel,Pattaya North,2.0,nan,nan,165671,Pattaya,Thailand,5954781,booking
Chaba Garden Resort & Service,Pattaya Central,3.0,6.6,14 reviews,83122,Pattaya,Thailand,327940,booking
OYO 616 Bonita House Samui,"Chaweng City Center , Chaweng",2.0,7.9,45 reviews,94824,Surat Thani,Thailand,2073156,booking
OYO 838 Aromdee Apartment,Pattaya North,2.0,6.2,3 reviews,120939,Pattaya,Thailand,1003122,booking
OYO 663 Green Beach Room,Pattaya North,2.0,7.1,12 reviews,166101,Pattaya,Thailand,6149984,booking
OYO 698 Pattaya City,Nong Prue,2.0,nan,nan,69003,Pattaya,Thailand,6170716,booking
OYO 146 Rivana Boutique By Sandara,Pattaya Central,3.0,6.9,54 reviews,64771,Pattaya,Thailand,1702230,booking
OYO 869 Ban Nam Mao Resort,Na Jomtien,2.0,nan,nan,73271,Pattaya,Thailand,6363776,booking
OYO 369 Micasa Guesthouse,"Chang Moi, Chiang Mai",2.0,8.1,56 reviews,59385,Chiang Mai,Thailand,5649706,booking
OYO 150 3Q Chiangmai Residence,"Chang Phueak, Chiang Mai",2.0,7.9,38 reviews,70882,Chiang Mai,Thailand,2051375,booking
OYO 338 V-Twin Donjan Service Apartment,"Tha Sala, Chiang Mai",2.0,9.0,160 reviews,73172,Chiang Mai,Thailand,1618657,booking
OYO 233 Sunshine House,"Chang Phueak, Chiang Mai",3.0,8.7,115 reviews,58244,Chiang Mai,Thailand,389681,booking
OYO 317 The Lilly Hotel,Chiang Mai,3.0,8.4,101 reviews,87658,Chiang Mai,Thailand,2072939,booking
OYO 339 Nakara Boutique Chiang Mai,"Chang Khlan, Chiang Mai",2.0,8.4,82 reviews,70894,Chiang Mai,Thailand,5632901,booking
OYO 374 Room Lanna Hotel,"Chang Phueak, Chiang Mai",3.0,8.4,115 reviews,84879,Chiang Mai,Thailand,4234237,booking
OYO Maesri Resort,Pattaya Central,3.0,3.6,8 reviews,145878,Pattaya,Thailand,5934666,booking
OYO 441 Grand Thara Hotel,Suratthani,3.0,7.4,40 reviews,57301,Surat Thani,Thailand,503130,booking
OYO 639 Rak Samui Residence,"Fisherman Village, Bophut",3.0,9.2,4 reviews,110705,Surat Thani,Thailand,365587,booking
OYO 846 Sleep Box Hostel,Suratthani,3.0,8.4,117 reviews,43586,Surat Thani,Thailand,5192620,booking
OYO 770 Baan Hom Hug Resort,Bang Su,2.0,9.0,10 reviews,59954,Chiang Rai,Thailand,5353408,booking
OYO 592 Goldenville Villa,Ban Du,2.0,6.8,6 reviews,54059,Chiang Rai,Thailand,815465,booking
OYO 494 Tantawan Resort,Chiang Rai,3.0,6.8,3 reviews,51074,Chiang Rai,Thailand,5867657,booking
OYO 859 Golden Land Hotel,Chiang Rai,2.0,6.3,46 reviews,55276,Chiang Rai,Thailand,291753,booking
OYO 775 Explore Hotel,Chiang Rai,2.0,nan,nan,54059,Chiang Rai,Thailand,6270702,booking
OYO 643 Kokview Chiang Rai,Chiang Rai,3.0,6.2,4 reviews,54059,Chiang Rai,Thailand,6088842,booking
OYO 835 Koh Chang Luxury Hotel,"Klong Prao Beach, Ko Chang",2.0,6.3,4 reviews,150229,Trad (Koh Chang),Thailand,392474,booking
OYO Tree House Cottage,"Klong Kloi Beach, Ko Chang",2.0,7.6,74 reviews,68418,Trad (Koh Chang),Thailand,1354336,booking
OYO 647 Sudjai Resort,Ban Chuk Kum,3.0,nan,nan,72129,Kanchanaburi,Thailand,6144272,booking
OYO 689 Treeyapat Place,Kanchanaburi,3.0,nan,nan,61229,Kanchanaburi,Thailand,6151291,booking
OYO 580 Chic Inn Thamuang,Kanchanaburi,3.0,7.3,20 reviews,54173,Kanchanaburi,Thailand,2377585,booking
OYO 670 Baan Suan Chan Resort,Kanchanaburi,2.0,7.4,23 reviews,58244,Kanchanaburi,Thailand,297896,booking
OYO 640 Baan Phuduan,Chiang Rai,2.0,nan,nan,58536,Chiang Rai,Thailand,1316255,booking
OYO 901 Bannsawasdee,Chiang Rai,2.0,8.3,425 reviews,56242,Chiang Rai,Thailand,2678953,booking
OYO 920 Saensukkho Hotel And Resort,Chiang Rai,2.0,5.4,4 reviews,118573,Chiang Rai,Thailand,294374,booking
OYO 787 Ngeeb Bed & Breakfast,Chiang Rai,3.0,7.3,34 reviews,58097,Chiang Rai,Thailand,4044692,booking
OYO 515 Fewtor Place,Hua Thanon Beach,3.0,8.2,11 reviews,90556,Surat Thani,Thailand,1238648,booking
OYO 763 Khaokhao Legend Resort,Khao Sok,3.0,7.7,32 reviews,184181,Surat Thani,Thailand,5815188,booking
OYO 530 Hoo Samui Resort,Mae Nam,3.0,8.2,45 reviews,110699,Surat Thani,Thailand,4787157,booking
